_Glon,_Glat,_RAJ2000,_DEJ2000,recno,Name,EPA,GPA,Source,SimbadName,MASH,_RA,_DE
279.13899,-3.1751401,145.21875,-56.9666667,292,G279.1-03.1,57,16,MASH,PN G279.1-03.1,MASH,145.21875,-56.96667
279.6080149,-3.1864751,145.8567439,-57.2821117,293,He 2-36,144,105,DSS2,Hen 2-36,MASH,145.85674,-57.28211
279.674692,2.2112579,151.8008333,-53.0791667,294,G279.6+02.2,141,105,MASH,PN G279.6+02.2,MASH,151.80083,-53.07917
281.3476803,-7.1020157,143.2633333,-61.355,295,G281.3-07.1,143,100,MASH,PN G281.3-07.1,MASH,143.26333,-61.355
282.5668082,-2.1097153,151.4570833,-58.2747222,296,G282.5-02.1,147,111,MASH,PN G282.5-02.1,MASH,151.45708,-58.27472
282.9785965,3.8044405,157.8833208,-53.5585556,297,He 2-48,129,99,DSS2,Hen 2-48,MASH,157.88332,-53.55856
283.9422242,-1.8515847,153.89875,-58.8533333,298,Hf 4,13,160,DSS2,PN Hf 4,MASH,153.89875,-58.85333
283.9033402,9.725809,163.6690458,-48.7841222,299,ESO 215-04,143,118,DSS2,ESO 215-04,MASH,163.66905,-48.78412
284.531399,3.8368336,160.195,-54.2997222,300,G284.5+03.8,127,98,MASH,PN G284.5+03.8,MASH,160.195,-54.29972
284.6137964,-4.4967796,151.96375,-61.4066667,301,G284.6-04.5,10,154,MASH,PN G284.6-04.5,MASH,151.96375,-61.40667
285.4623842,-5.3755361,152.3369,-62.6134444,302,IC 2553,7,151,CAM98,IC 2553,MASH,152.3369,-62.61344
285.4500763,1.5038756,159.6150292,-56.7851111,303,He 2-52,105,76,CAM98,Hen 2-52,MASH,159.61503,-56.78511
285.5292106,-3.3581813,154.865,-60.9861111,304,G285.5-03.3,83,50,MASH,PN G285.5-03.3,MASH,154.865,-60.98611
285.7989399,-14.951744,136.7760875,-69.9418722,305,IC 2448,137,88,DSS2,IC 2448,MASH,136.77609,-69.94187
285.6685148,-2.7430339,155.7880958,-60.5450583,306,He 2-47,,,HST,Hen 2-47,MASH,155.7881,-60.54506
286.2782898,-6.9487644,151.7482125,-64.3638889,307,Wray 17-40,102,67,DSS2,Wray 17-40,MASH,151.74821,-64.36389
286.3180336,-3.1750544,156.4429167,-61.2563889,308,G286.3-03.1,145,113,MASH,PN G286.3-03.1,MASH,156.44292,-61.25639
286.34934,-0.7106,159.0383333,-59.1555556,309,G286.3-00.7,130,100,MASH,PN G286.3-00.7,MASH,159.03833,-59.15556
288.4440182,0.381456,163.6470833,-59.1633333,310,Hf 38,94,69,DSS2,PN Hf 38,MASH,163.64708,-59.16333
288.4751498,-1.8313513,161.7129167,-61.1563889,311,G288.4-01.8,107,80,MASH,PN G288.4-01.8,MASH,161.71292,-61.15639
288.9349407,-0.8055238,163.498275,-60.4456417,312,Hf 39,43,18,DSS2,PN Hf 39,MASH,163.49827,-60.44564
289.6030933,-1.6196331,164.0125,-61.4687222,313,He 2-57,119,95,DSS2,Hen 2-57,MASH,164.0125,-61.46872
290.1102107,-0.4338889,165.9832458,-60.6012694,314,Hf 48,136,113,DSS2,PN Hf 48,MASH,165.98325,-60.60127
291.3772719,3.7291353,171.2145833,-57.1875,315,G291.3+03.7,55,36,MASH,PN G291.3+03.7,MASH,171.21458,-57.1875
291.3177328,8.4055292,173.6608333,-52.7258333,316,G291.3+08.4,175,158,MASH,PN G291.3+08.4,MASH,173.66083,-52.72583
291.7402073,3.7346904,171.8510792,-57.2997194,317,He 2-64,81,62,CAM98,Hen 2-64,MASH,171.85108,-57.29972
291.9229989,-4.0147871,166.4854167,-64.6075,318,G291.9-04.0,44,21,MASH,PN G291.9-04.0,MASH,166.48542,-64.6075
292.4804058,0.8786683,171.425,-60.2416667,319,G292.4+00.8,153,134,MASH,PN G292.4+00.8,MASH,171.425,-60.24167
292.7878098,1.9897718,172.7014125,-59.2846194,320,Wray 16-93,134,117,DSS2,Wray 16-93,MASH,172.70141,-59.28462
292.8024451,1.1258884,172.1973708,-60.1103556,321,He 2-67,120,102,CAM98,Hen 2-67,MASH,172.19737,-60.11036
292.8274347,0.6600049,171.9479167,-60.5602778,322,G292.8+00.6,168,150,MASH,PN G292.8+00.6,MASH,171.94792,-60.56028
293.6122335,1.2014055,173.7960167,-60.2832583,323,He 2-70,137,121,DSS2,Hen 2-70,MASH,173.79602,-60.28326
294.1331359,14.4501155,180.1811542,-47.5533722,324,Lo 6,150,140,DSS2,PN Lo 6,MASH,180.18115,-47.55337
294.689461,4.7075596,177.573875,-57.1824722,325,NGC 3918,138,126,DSS2,NGC 3918,MASH,177.57387,-57.18247
294.9657088,-0.6947696,175.4058167,-62.4817861,326,He 2-72,101,87,DSS2,Hen 2-72,MASH,175.40582,-62.48179
296.4670726,-6.9091971,174.7966583,-68.8692056,327,He 2-71,,,HST,Hen 2-71,MASH,174.79666,-68.86921
296.6234673,-20.0421193,152.337125,-80.8585361,328,NGC 3195,13,155,CAM98,NGC 3195,MASH,152.33712,-80.85854
297.6870013,-1.6818946,180.8016667,-64.0613889,329,G297.6-01.6,90,79,MASH,PN G297.6-01.6,MASH,180.80167,-64.06139
298.2722865,-1.7206843,182.1059708,-64.2025889,330,He 2-76,83,75,DSS2,Hen 2-76,MASH,182.10597,-64.20259
298.3920415,-4.8550283,181.0617292,-67.3098806,331,NGC 4071,43,34,DSS2,NGC 4071,MASH,181.06173,-67.30988
298.6942712,-1.5690895,183.1166667,-64.1197222,332,G298.6-01.5,50,41,MASH,PN G298.6-01.5,MASH,183.11667,-64.11972
298.7783693,-7.5362782,180.73125,-70.0158333,333,G298.7-07.5,158,147,MASH,PN G298.7-07.5,MASH,180.73125,-70.01583
299.0508473,18.4789813,187.7187417,-44.2377556,334,K 1-23,3,179,DSS2,PN K 1-23,MASH,187.71874,-44.23776
299.0296807,3.5151921,185.2529167,-59.1258333,335,G299.0+03.5,140,133,MASH,PN G299.0+03.5,MASH,185.25292,-59.12583
299.493255,-4.1239685,184.1380667,-66.7625194,336,HaTr 1,131,124,DSS2,PN HaTr 1,MASH,184.13807,-66.76252
299.5147596,2.4684182,185.9731542,-60.2204444,337,He 2-82,162,157,DSS2,Hen 2-82,MASH,185.97315,-60.22044
299.8440574,3.736284,186.8702469,-58.9917564,338,Bl Cru,31,25,CAM98,Bl Cru,MASH,186.87025,-58.99176
330.2550535,5.9260234,235.5555833,-47.6795361,339,Lo 9,82,120,DSS2,PN Lo 9,MASH,235.55558,-47.67954
330.6500637,-2.1253067,244.3101042,-53.5356639,340,He 2-153,41,86,DSS2,Hen 2-153,MASH,244.3101,-53.53566
330.6386324,-3.6166441,246.0892375,-54.6007833,341,He 2-159,173,39,DSS2,Hen 2-159,MASH,246.08924,-54.60078
330.7007999,-2.0010229,244.2259167,-53.4111389,342,G330.7-02.0,95,139,MASH,PN G330.7-02.0,MASH,244.22592,-53.41114
330.985763,4.3906353,237.8325792,-48.4352583,343,Wray 16-189,72,112,DSS2,Wray 16-189,MASH,237.83258,-48.43526
331.1343723,-5.7653649,249.4275542,-55.7072806,344,PC 11,,,HST,PN PC 11,MASH,249.42755,-55.70728
331.3522952,1.6599525,240.97375,-50.2811111,345,G331.3+01.6,145,6,MASH,PN G331.3+01.6,MASH,240.97375,-50.28111
