_Glon,_Glat,_RAJ2000,_DEJ2000,recno,Name,EPA,GPA,Source,SimbadName,MASH,_RA,_DE,α_min,α_max,α_rango
284.6137964,-4.4967796,151.96375,-61.4066667,301,G284.6-04.5,10,154,MASH,PN G284.6-04.5,MASH,151.96375,-61.40667,1.217635374296092,2.0332802780470294,0.8156449037509375
285.4623842,-5.3755361,152.3369,-62.6134444,302,IC 2553,7,151,CAM98,IC 2553,MASH,152.3369,-62.61344,0.7662101525713346,2.9350159204301254,2.1688057678587906
285.4500763,1.5038756,159.6150292,-56.7851111,303,He 2-52,105,76,CAM98,Hen 2-52,MASH,159.61503,-56.78511,0.2604425258291569,2.9895059445143652,2.7290634186852083
285.5292106,-3.3581813,154.865,-60.9861111,304,G285.5-03.3,83,50,MASH,PN G285.5-03.3,MASH,154.865,-60.98611,0.4538965798914482,1.71010594160964,1.2562093617181918
285.7989399,-14.951744,136.7760875,-69.9418722,305,IC 2448,137,88,DSS2,IC 2448,MASH,136.77609,-69.94187,0.12074688377435194,2.630521032492102,2.50977414871775
286.2782898,-6.9487644,151.7482125,-64.3638889,307,Wray 17-40,102,67,DSS2,Wray 17-40,MASH,151.74821,-64.36389,0.9813382614698025,2.916718799565685,1.9353805380958826
286.3180336,-3.1750544,156.4429167,-61.2563889,308,G286.3-03.1,145,113,MASH,PN G286.3-03.1,MASH,156.44292,-61.25639,0.48586754338730337,1.661884348593859,1.1760168052065556
286.34934,-0.7106,159.0383333,-59.1555556,309,G286.3-00.7,130,100,MASH,PN G286.3-00.7,MASH,159.03833,-59.15556,1.3276793316435356,2.5820990048774983,1.2544196732339628
288.4440182,0.381456,163.6470833,-59.1633333,310,Hf 38,94,69,DSS2,PN Hf 38,MASH,163.64708,-59.16333,0.6973229022613953,1.8955914877464377,1.1982685854850423
288.4751498,-1.8313513,161.7129167,-61.1563889,311,G288.4-01.8,107,80,MASH,PN G288.4-01.8,MASH,161.71292,-61.15639,1.1488486771870892,2.268001330556382,1.119152653369293
288.9349407,-0.8055238,163.498275,-60.4456417,312,Hf 39,43,18,DSS2,PN Hf 39,MASH,163.49827,-60.44564,0.5487163760188275,2.3194059793125867,1.7706896032937594
289.6030933,-1.6196331,164.0125,-61.4687222,313,He 2-57,119,95,DSS2,Hen 2-57,MASH,164.0125,-61.46872,0.2520719087940656,2.9800572225481554,2.7279853137540897
290.1102107,-0.4338889,165.9832458,-60.6012694,314,Hf 48,136,113,DSS2,PN Hf 48,MASH,165.98325,-60.60127,1.229450815459519,1.6913990149310987,0.4619481994715797
291.3772719,3.7291353,171.2145833,-57.1875,315,G291.3+03.7,55,36,MASH,PN G291.3+03.7,MASH,171.21458,-57.1875,0.5377899316864714,2.4618289124638304,1.924038980777359
291.3177328,8.4055292,173.6608333,-52.7258333,316,G291.3+08.4,175,158,MASH,PN G291.3+08.4,MASH,173.66083,-52.72583,0.008220141695287625,3.133152352667134,3.1249322109718465
291.7402073,3.7346904,171.8510792,-57.2997194,317,He 2-64,81,62,CAM98,Hen 2-64,MASH,171.85108,-57.29972,0.106220022768004,2.582024800290549,2.475804777522545
291.9229989,-4.0147871,166.4854167,-64.6075,318,G291.9-04.0,44,21,MASH,PN G291.9-04.0,MASH,166.48542,-64.6075,0.9512912577567222,1.8168131707528352,0.865521912996113
292.4804058,0.8786683,171.425,-60.2416667,319,G292.4+00.8,153,134,MASH,PN G292.4+00.8,MASH,171.425,-60.24167,0.9830221913600501,2.7290215014672516,1.7459993101072016
292.7878098,1.9897718,172.7014125,-59.2846194,320,Wray 16-93,134,117,DSS2,Wray 16-93,MASH,172.70141,-59.28462,1.31106323287684,1.7245914608466777,0.4135282279698378
292.8024451,1.1258884,172.1973708,-60.1103556,321,He 2-67,120,102,CAM98,Hen 2-67,MASH,172.19737,-60.11036,1.0663915353315843,2.4180649049295226,1.3516733695979384
292.8274347,0.6600049,171.9479167,-60.5602778,322,G292.8+00.6,168,150,MASH,PN G292.8+00.6,MASH,171.94792,-60.56028,0.7877848630638383,3.076976686919466,2.2891918238556275
293.6122335,1.2014055,173.7960167,-60.2832583,323,He 2-70,137,121,DSS2,Hen 2-70,MASH,173.79602,-60.28326,0.19904217979748853,3.077515349429054,2.8784731696315657
